"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"CHEMBL2110990";"GUAIACOLSULFONIC ACID";"GUAIACOLSULFONATE|SULFOGAIACOL";"Small molecule";"0";"204.20";"";"";"0.65";"83.83";"4";"2";"0";"2";"N";"0.69";"-2.58";"None";"0.69";"-1.69";"1";"MOL";"0";"13";"5";"2";"0";"204.0092";"ACID";"C7H8O5S";"COc1cc(S(=O)(=O)O)ccc1O"
"CHEMBL459048";"SOBREROL";"SOBREROL|Sobrerol";"Small molecule";"0";"170.25";"1";"4";"1.47";"40.46";"2";"2";"0";"1";"Y";"0.59";"None";"None";"0.94";"0.94";"0";"MOL";"0";"12";"2";"2";"0";"170.1307";"NEUTRAL";"C10H18O2";"CC1=CC[C@H](C(C)(C)O)C[C@@H]1O"
"CHEMBL2103762";"AMBAZONE";"AMBAZONE";"Small molecule";"0";"237.29";"17";"20";"-0.86";"124.67";"4";"5";"0";"2";"N";"0.14";"11.64";"8.07";"0.29";"-0.46";"0";"MOL";"0";"16";"7";"7";"1";"237.0797";"NEUTRAL";"C8H11N7S";"N=C(N)NN=C1C=CC(=NNC(N)=S)C=C1"
"CHEMBL2105044";"LETOSTEINE";"LETOSTEINE";"Small molecule";"0";"279.38";"2";"6";"0.79";"75.63";"6";"2";"0";"7";"N";"0.53";"2.74";"7.41";"-1.50";"-1.76";"0";"MOL";"0";"17";"5";"2";"0";"279.0599";"ACID";"C10H17NO4S2";"CCOC(=O)CSCCC1NC(C(=O)O)CS1"
"CHEMBL4594247";"ACRIFLAVINE HYDROCHLORIDE";"ACRIFLAVINE HYDROCHLORIDE|ACRIFLAVINIUM CHLORIDE";"Small molecule";"0";"578.38";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"433.2135";"None";"C27H28Cl4N6";"C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.Cl.Cl.Cl.Nc1ccc2cc3ccc(N)cc3nc2c1.[Cl-]"
"CHEMBL600";"ACETYLCYSTEINE";"5052|A-CYS|ACC-600|ACETYLCYSTEINE|AIRBRON|Acetadote|CETYLEV|EN-CYS|FABROL|FLUIMUCIL|FLUIMUCIL 600|FLUIMUCIL LONG|FLUIMUCIL N|ILUBE|MUCOSIL-10|MUCOSIL-20|Mucomyst|Mucosil|N-ACETYL-L-CYSTEINE|N-Acetyl-L-Cysteine|NSC-111180|ORONAC 600|PARVOLEX|RESPI-NAC|RK-0202|SIRAN|SOLMUCOL|YOURNAC";"Small molecule";"4";"163.20";"69";"335";"-0.49";"66.40";"3";"3";"0";"3";"N";"0.49";"3.82";"None";"-0.71";"-3.97";"0";"MOL";"0";"10";"4";"2";"0";"163.0303";"ACID";"C5H9NO3S";"CC(=O)N[C@@H](CS)C(=O)O"
"CHEMBL523299";"UMECLIDINIUM BROMIDE";"GSK-573719A|GSK573719A|INCRUSE ELLIPTA|UMECLIDINIUM BROM|UMECLIDINIUM BROMIDE";"Small molecule";"4";"508.50";"7";"17";"5.14";"29.46";"2";"1";"1";"8";"N";"0.40";"13.04";"None";"0.68";"0.68";"3";"MOL";"0";"32";"3";"1";"1";"428.2584";"NEUTRAL";"C29H34BrNO2";"OC(c1ccccc1)(c1ccccc1)C12CC[N+](CCOCc3ccccc3)(CC1)CC2.[Br-]"
"CHEMBL2105910";"BENPROPERINE";"ASA 158/5 [AS PHOSPHATE]|BENPROPERINE|BENPROPERINE PHOSPHATE";"Small molecule";"0";"309.45";"3";"17";"4.53";"12.47";"2";"0";"0";"6";"N";"0.78";"None";"9.05";"5.19";"3.54";"2";"MOL";"0";"23";"2";"0";"0";"309.2093";"BASE";"C21H27NO";"CC(COc1ccccc1Cc1ccccc1)N1CCCCC1"
"CHEMBL1201463";"CODEINE POLISTIREX";"CODEINE POLISTIREX|Codeine polistirex";"Small molecule";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";""
"CHEMBL1288810";"LEVODROPROPIZINE";"DROPROPIZINE S-FORM|LEVODROPROPIZINE";"Small molecule";"3";"236.31";"8";"13";"0.16";"46.94";"4";"2";"0";"4";"N";"0.78";"14.00";"7.65";"0.61";"0.17";"1";"MOL";"0";"17";"4";"2";"0";"236.1525";"NEUTRAL";"C13H20N2O2";"OC[C@@H](O)CN1CCN(c2ccccc2)CC1"
"CHEMBL1000";"CETIRIZINE";"AC-170|CETIRIZINE";"Small molecule";"4";"388.90";"40";"192";"3.15";"53.01";"4";"1";"0";"8";"N";"0.70";"3.59";"7.42";"0.87";"0.65";"2";"MOL";"0";"27";"5";"1";"0";"388.1554";"ACID";"C21H25ClN2O3";"O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1"
"CHEMBL1183605";"CETRIMONIUM";"CETRIMONIUM";"Small molecule";"0";"284.55";"1";"1";"6.17";"0.00";"0";"0";"1";"15";"N";"0.25";"None";"None";"2.69";"2.69";"0";"MOL";"0";"20";"1";"0";"1";"284.3312";"None";"C19H42N+";"CCCCCCCCCCCCCCCC[N+](C)(C)C"
"CHEMBL443605";"HEXYLRESORCINOL";"HEXYLRESORCINOL|Hexylresorcinol|SUCRETS";"Small molecule";"4";"194.27";"94";"135";"3.22";"40.46";"2";"2";"0";"5";"N";"0.71";"9.55";"None";"4.10";"4.10";"1";"MOL";"0";"14";"2";"2";"0";"194.1307";"NEUTRAL";"C12H18O2";"CCCCCCc1ccc(O)cc1O"
"CHEMBL1182210";"BENZETHONIUM";"BENZETHONIUM";"Small molecule";"0";"412.64";"20";"30";"6.07";"18.46";"2";"0";"1";"11";"N";"0.33";"None";"None";"2.37";"2.37";"2";"MOL";"0";"30";"3";"0";"1";"412.3210";"NEUTRAL";"C27H42NO2+";"CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1"
"CHEMBL224325";"CHLORQUINALDOL";"CHLORQUINALDOL|CLORQUINALDOL|STEROXIN";"Small molecule";"4";"228.08";"33";"67";"3.56";"33.12";"2";"1";"0";"0";"N";"0.75";"6.99";"4.00";"3.17";"2.60";"2";"MOL";"0";"14";"2";"1";"0";"226.9905";"NEUTRAL";"C10H7Cl2NO";"Cc1ccc2c(Cl)cc(Cl)c(O)c2n1"
"CHEMBL2107531";"STEPRONIN";"STEPRONIN|TIOFACIC";"Small molecule";"0";"273.33";"8";"11";"1.21";"83.47";"5";"2";"0";"5";"N";"0.84";"3.56";"None";"1.27";"-2.08";"1";"MOL";"0";"17";"5";"2";"0";"273.0129";"ACID";"C10H11NO4S2";"CC(SC(=O)c1cccs1)C(=O)NCC(=O)O"
"CHEMBL2106972";"NELTENEXINE";"NELTENEXINE";"Small molecule";"0";"488.25";"";"";"4.92";"61.36";"4";"3";"0";"5";"N";"0.56";"13.88";"8.84";"4.49";"3.03";"2";"MOL";"0";"25";"4";"3";"0";"485.9612";"BASE";"C18H20Br2N2O2S";"O=C(Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1)c1cccs1"
"CHEMBL1199480";"OCTENIDINE";"OCTENIDINE";"Small molecule";"2";"550.92";"2";"5";"9.63";"34.58";"4";"0";"2";"25";"N";"0.11";"None";"10.89";"11.06";"5.09";"2";"MOL";"0";"40";"4";"0";"2";"550.4974";"BASE";"C36H62N4";"CCCCCCCCN=c1ccn(CCCCCCCCCCn2ccc(=NCCCCCCCC)cc2)cc1"
"CHEMBL305906";"CETYLPYRIDINIUM";"CETYLPYRIDINIUM";"Small molecule";"4";"304.54";"8";"11";"6.46";"3.88";"0";"0";"1";"15";"N";"0.26";"None";"None";"3.47";"3.47";"1";"MOL";"0";"22";"1";"0";"1";"304.2999";"NEUTRAL";"C21H38N+";"CCCCCCCCCCCCCCCC[n+]1ccccc1"
