"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"CHEMBL3707241";"ALUMINIUM ACETOTARTRATE";"ALUMINIUM ACETOTARTRATE";"Small molecule";"0";"234.10";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"233.9956";"None";"C6H7AlO8";"CC(=O)[O-].O=C([O-])C(O)C(O)C(=O)[O-].[Al+3]"
"CHEMBL23838";"PARAOXON";"PARAOXON|Paraoxon";"Small molecule";"0";"275.20";"28";"63";"3.15";"87.90";"6";"0";"0";"7";"N";"0.43";"None";"None";"2.43";"2.43";"1";"MOL";"0";"18";"7";"0";"0";"275.0559";"None";"C10H14NO6P";"CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1"
"CHEMBL880";"FAMCICLOVIR";"BRL-42810|FAMCICLOVIR|Famvir";"Small molecule";"4";"321.34";"142";"841";"0.54";"122.22";"9";"1";"0";"7";"N";"0.73";"None";"3.65";"-0.48";"-0.48";"2";"MOL";"0";"23";"9";"2";"0";"321.1437";"NEUTRAL";"C14H19N5O4";"CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O"
"CHEMBL600";"ACETYLCYSTEINE";"5052|A-CYS|ACC-600|ACETYLCYSTEINE|AIRBRON|Acetadote|CETYLEV|EN-CYS|FABROL|FLUIMUCIL|FLUIMUCIL 600|FLUIMUCIL LONG|FLUIMUCIL N|ILUBE|MUCOSIL-10|MUCOSIL-20|Mucomyst|Mucosil|N-ACETYL-L-CYSTEINE|N-Acetyl-L-Cysteine|NSC-111180|ORONAC 600|PARVOLEX|RESPI-NAC|RK-0202|SIRAN|SOLMUCOL|YOURNAC";"Small molecule";"4";"163.20";"69";"335";"-0.49";"66.40";"3";"3";"0";"3";"N";"0.49";"3.82";"None";"-0.71";"-3.97";"0";"MOL";"0";"10";"4";"2";"0";"163.0303";"ACID";"C5H9NO3S";"CC(=O)N[C@@H](CS)C(=O)O"
"CHEMBL989";"FLUOCINOLONE ACETONIDE";"CAPEX|DERMOTIC|Derma-Smoothe/FS|FLUOCINOLONE|FLUOCINOLONE ACETONIDE|FS Shampoo|Fluocet|Fluonid|Fluotrex|ILUVIEN|NSC-92339|Retisert|SYNALAR FTE|SYNALAR-C|SYNALAR-HP|SYNALAR-N|SYNANDONE|Synalar|YUTIQ";"Small molecule";"4";"452.49";"205";"695";"2.37";"93.06";"6";"2";"0";"2";"N";"0.67";"13.38";"None";"1.60";"1.60";"0";"MOL";"0";"32";"6";"2";"0";"452.2010";"NEUTRAL";"C24H30F2O6";"CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1"
"CHEMBL373081";"MICRONOMICIN";"MICRONOMICIN|MICRONOMICIN SULFATE";"Small molecule";"0";"463.58";"2";"3";"-3.72";"199.73";"12";"8";"2";"7";"N";"0.18";"12.55";"10.06";"-3.55";"-11.67";"0";"MOL";"0";"32";"12";"11";"2";"463.3006";"BASE";"C20H41N5O7";"CNC[C@@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H]2O)O1"
"CHEMBL529";"AZITHROMYCIN";"AZITHROMYCIN|AZITHROMYCIN DIHYDRATE|AZITHROMYCIN HYDRATE|AZYTER|Azasite|CLAMELLE|CP 62993|CP-62,993|CP-62993|Sumamed|Sunamed|XZ 405|XZ 450|XZ-450|ZMax|Zithromax";"Small molecule";"4";"749.00";"247";"3384";"1.90";"180.08";"14";"5";"2";"7";"N";"0.24";"12.43";"9.57";"2.44";"-1.23";"0";"MOL";"0";"52";"14";"5";"2";"748.5085";"BASE";"C38H72N2O12";"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O"
"CHEMBL20";"ACETAZOLAMIDE";"ACETAZOLAMIDE|Acetazolamide|DIAMOX SR|Diamox|EYTAZOX|L 579486|NSC-145177";"Small molecule";"4";"222.25";"239";"5235";"-0.86";"115.04";"6";"2";"0";"2";"N";"0.63";"6.55";"None";"-1.04";"-2.08";"1";"MOL";"0";"13";"7";"3";"0";"221.9881";"NEUTRAL";"C4H6N4O3S2";"CC(=O)Nc1nnc(S(N)(=O)=O)s1"
"CHEMBL91";"MICONAZOLE";"Conofite|DUMICOAT|Dermazole|LORAMYC|MICONAZOLE|Micatin|Miconazole|Monistat|Monistat-3|Monistat-Derm|NSC-170986|ORAVIG|Vusion";"Small molecule";"4";"416.14";"339";"2473";"6.45";"27.05";"3";"0";"1";"6";"N";"0.46";"None";"6.48";"5.96";"5.92";"3";"MOL";"0";"25";"3";"0";"1";"413.9860";"NEUTRAL";"C18H14Cl4N2O";"Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1"
"CHEMBL1291";"METIPRANOLOL";"BM-01004|BM01.004|GLAULINE|METIPRANOLOL|Metipranolol|OptiPranolol|Optipranolol|VUAB-6453|VUAB6453 (SPOFA)";"Small molecule";"4";"309.41";"9";"53";"2.27";"67.79";"5";"2";"0";"7";"N";"0.60";"None";"9.67";"2.74";"0.52";"1";"MOL";"0";"22";"5";"2";"0";"309.1940";"BASE";"C17H27NO4";"CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C"
