"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"CHEMBL1697832";"CLOPREDNOL";"CLOPREDNOL|Cloradryn|RS-4691";"Small molecule";"0";"392.88";"1";"1";"1.90";"94.83";"5";"3";"0";"2";"N";"0.67";"12.59";"None";"1.15";"1.15";"0";"MOL";"0";"27";"5";"3";"0";"392.1391";"NEUTRAL";"C21H25ClO5";"C[C@]12C[C@H](O)[C@H]3[C@@H](C=C(Cl)C4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO"
"CHEMBL1200542";"DESOXYCORTICOSTERONE ACETATE";"DEOXYCORTICOSTERONE ACETATE|DEOXYCORTONE|DESOXYCORTICOSTERONE ACETATE|DESOXYCORTONE|DESOXYCORTONE ACETATE|Doca|NSC-9567|Percorten";"Small molecule";"4";"372.51";"22";"34";"4.27";"60.44";"4";"0";"0";"3";"N";"0.69";"None";"None";"3.77";"3.77";"0";"MOL";"0";"27";"4";"0";"0";"372.2301";"NEUTRAL";"C23H32O4";"CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C"
"CHEMBL1236469";"DIOTYROSINE";"DIIODOTYROSINE";"Small molecule";"0";"432.98";"24";"42";"1.56";"83.55";"3";"3";"0";"3";"N";"0.63";"0.48";"9.45";"0.37";"-0.01";"1";"MOL";"0";"15";"4";"4";"0";"432.8672";"ZWITTERION";"C9H9I2NO3";"N[C@@H](Cc1cc(I)c(O)c(I)c1)C(=O)O"
"CHEMBL41632";"TIRATRICOL";"LEVOTHYROXINE SODIUM IMPURITY, TRIIODOTHYROACETIC ACID, OR T3-ACETIC ACID-|T3-ACETIC ACID|TIRATRICOL|TRIAC|TRIIODOTHYROACETIC ACID";"Small molecule";"2";"621.93";"41";"92";"4.63";"66.76";"3";"2";"1";"4";"N";"0.49";"2.31";"None";"5.59";"2.05";"2";"MOL";"0";"21";"4";"2";"1";"621.7635";"ACID";"C14H9I3O4";"O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1"
"CHEMBL1200592";"DESOXYCORTICOSTERONE PIVALATE";"DESOXYCORTICOSTERONE PIVALATE|DESOXYCORTICOSTERONE TRIMETHYLACETATE|Percorten";"Small molecule";"4";"414.59";"2";"4";"5.29";"60.44";"4";"0";"1";"3";"N";"0.59";"None";"None";"5.57";"5.57";"0";"MOL";"0";"30";"4";"0";"1";"414.2770";"NEUTRAL";"C26H38O4";"CC(C)(C)C(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C"
"CHEMBL1200342";"PARAMETHASONE ACETATE";"Haldrone|PARAMETHASONE|PARAMETHASONE ACETATE";"Small molecule";"4";"434.50";"1";"1";"2.32";"100.90";"6";"2";"0";"3";"N";"0.66";"12.47";"None";"1.74";"1.74";"0";"MOL";"0";"31";"6";"2";"0";"434.2105";"NEUTRAL";"C24H31FO6";"CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C"
"CHEMBL273453";"ALDOSTERONE";"ALDOSTERONE|NSC-73856";"Small molecule";"1";"360.45";"28";"554";"1.85";"91.67";"5";"2";"0";"3";"N";"0.75";"13.82";"None";"1.06";"1.06";"0";"MOL";"0";"26";"5";"2";"0";"360.1937";"NEUTRAL";"C21H28O5";"C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C=O)[C@@H](C(=O)CO)CC[C@@H]12"
"CHEMBL1549";"HYDROCORTISONE CYPIONATE";"Cortef|HYDROCORTISONE CIPIONATE|HYDROCORTISONE CYCLOPENTYLPROPIONATE|HYDROCORTISONE CYPIONATE|Hydrocortisone Cypionate|NSC-10721";"Small molecule";"4";"486.65";"53";"54";"4.30";"100.90";"6";"2";"0";"6";"N";"0.54";"12.61";"None";"4.02";"4.02";"0";"MOL";"0";"35";"6";"2";"0";"486.2981";"NEUTRAL";"C29H42O6";"C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COC(=O)CCC1CCCC1"
"CHEMBL1497";"BETAMETHASONE VALERATE";"AUDAVATE|AUDAVATE RD|BETACAP|BETAMETH VAL IN COAL TAR|BETAMETHASONE 17-VALERATE|BETAMETHASONE VALERATE|BETESIL|BETNOVATE RD|BETNOVATE-C|BETNOVATE-N|BETTAMOUSSE|BEXTASOL|Beta-val|Betaderm|Betatrex|Dermabet|FUCIBET|Luxiq|Valisone|Valnac|XEMACORT";"Small molecule";"4";"476.59";"11";"46";"3.64";"100.90";"6";"2";"0";"6";"N";"0.57";"13.41";"None";"3.71";"3.71";"0";"MOL";"0";"34";"6";"2";"0";"476.2574";"NEUTRAL";"C27H37FO6";"CCCCC(=O)O[C@]1(C(=O)CO)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C"
"CHEMBL1515";"METHIMAZOLE";"FAVISTAN|METHIMAZOLE|Methimazole|NSC-38608|THIAMAZOLE|Tapazole";"Small molecule";"4";"114.17";"150";"2248";"1.08";"20.72";"2";"1";"0";"0";"Y";"0.50";"10.41";"None";"0.75";"0.75";"1";"MOL";"0";"7";"2";"1";"0";"114.0252";"NEUTRAL";"C4H6N2S";"Cn1cc[nH]c1=S"
