"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"CHEMBL3707282";"MAGNESIUM OROTATE";"MAGNEROT CLASSIC|MAGNESIUM OROTATE";"Small molecule";"4";"334.48";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"334.0036";"None";"C10H6MgN4O8";"O=C([O-])c1cc(=O)[nH]c(=O)[nH]1.O=C([O-])c1cc(=O)[nH]c(=O)[nH]1.[Mg+2]"
"CHEMBL3707299";"ALOGLUTAMOL";"ALOGLUTAMOL";"Small molecule";"0";"377.28";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"256.0375";"None";"C10H24AlNO12";"NC(CO)(CO)CO.O=C(O[Al](O)O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO"
"CHEMBL2105231";"PIPROZOLIN";"GO 919|PIPROZOLIN|Probkin|W 3699";"Small molecule";"0";"298.41";"";"";"1.80";"49.85";"5";"0";"0";"4";"N";"0.58";"None";"5.38";"2.28";"2.28";"0";"MOL";"0";"20";"5";"0";"0";"298.1351";"NEUTRAL";"C14H22N2O3S";"CCOC(=O)/C=C1\SC(N2CCCCC2)C(=O)N1CC"
"CHEMBL3707385";"CALCIUM LACTATE GLUCONATE";"CALCIUM LACTATE GLUCONATE";"Small molecule";"0";"324.30";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"324.0369";"None";"C9H16CaO10";"CC(O)C(=O)[O-].O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Ca+2]"
"CHEMBL3707233";"ALUMINIUM GLYCINATE";"ALUMINIUM GLYCINATE";"Small molecule";"0";"135.05";"";"";"-0.97";"63.32";"2";"2";"0";"1";"N";"0.42";"2.31";"9.24";"-3.41";"-3.42";"0";"MOL";"0";"5";"3";"3";"0";"75.0320";"ZWITTERION";"C2H6AlNO4";"NCC(=O)[O-].[Al+3].[OH-].[OH-]"
"CHEMBL3833365";"KAOLIN";"KAOLIN|Vanclay";"Small molecule";"0";"258.16";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"1";"None";"None";"None";"None";"221.8813";"None";"H4Al2O9Si2";"O.O.O=[Al]O[Si](=O)O[Si](=O)O[Al]=O"
"CHEMBL2105318";"OXABOLONE CIPIONATE";"FI 5852|OXABOLONE CIPIONATE";"Small molecule";"0";"414.59";"";"";"5.90";"63.60";"4";"1";"1";"4";"N";"0.58";"9.23";"None";"5.29";"5.28";"0";"MOL";"0";"30";"4";"1";"1";"414.2770";"NEUTRAL";"C26H38O4";"C[C@]12CC[C@@H]3[C@H]4CCC(=O)C(O)=C4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CCC1CCCC1"
"CHEMBL3989822";"POTASSIUM CITRATE";"CYMACLEAR|EFFERCITRATE|POT CIT|POT CIT EFF|POTASSIUM CITRATE|UROCIT-K 5MEQ|Urocit-K";"Small molecule";"4";"324.41";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"305.8946";"None";"C6H7K3O8";"O.O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+]"
"CHEMBL3707206";"CALCIUM GLYCERYLPHOSPHATE";"CALCIUM GLYCERYLPHOSPHATE";"Small molecule";"0";"210.13";"";"";"-1.55";"107.22";"4";"4";"0";"4";"N";"0.38";"1.13";"None";"-1.96";"-5.57";"0";"MOL";"0";"10";"6";"4";"0";"172.0137";"ACID";"C3H7CaO6P";"O=P([O-])([O-])OC(CO)CO.[Ca+2]"
"CHEMBL2107567";"CALCIUM PHOSPHATE, DIBASIC";"CALCIUM PHOSPHATE|CALCIUM PHOSPHATE, DIBASIC|OSTRAM";"Small molecule";"4";"136.06";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"1";"None";"None";"None";"None";"135.9238";"None";"HCaO4P";"O=P([O-])([O-])O.[Ca+2]"
