"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"CHEMBL880";"FAMCICLOVIR";"BRL-42810|FAMCICLOVIR|Famvir";"Small molecule";"4";"321.34";"142";"841";"0.54";"122.22";"9";"1";"0";"7";"N";"0.73";"None";"3.65";"-0.48";"-0.48";"2";"MOL";"0";"23";"9";"2";"0";"321.1437";"NEUTRAL";"C14H19N5O4";"CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O"
"CHEMBL564085";"TROLEANDOMYCIN";"ACETYLOLEANDOMYCIN|NSC-108166|TRIACETYLOLEANDOMYCIN|TROLEANDOMYCIN";"Small molecule";"4";"813.98";"19";"59";"3.62";"184.19";"16";"0";"2";"9";"N";"0.19";"None";"7.87";"4.30";"3.70";"0";"MOL";"0";"57";"16";"0";"2";"813.4511";"NEUTRAL";"C41H67NO15";"CO[C@H]1C[C@H](O[C@@H]2[C@@H](C)C(=O)O[C@H](C)[C@H](C)[C@H](OC(C)=O)[C@@H](C)C(=O)[C@]3(CO3)C[C@H](C)[C@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3OC(C)=O)[C@H]2C)O[C@@H](C)[C@@H]1OC(C)=O"
"CHEMBL1664";"FOSAMPRENAVIR";"FOSAMPRENAVIR|Fosamprenavir|GW-433908|GW433908|GW433908A";"Small molecule";"4";"585.62";"7";"29";"2.52";"177.72";"8";"4";"1";"13";"N";"0.20";"1.22";"2.45";"1.92";"-1.20";"2";"MOL";"0";"39";"12";"5";"2";"585.1910";"ACID";"C25H36N3O9PS";"CC(C)CN(C[C@@H](OP(=O)(O)O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1"
"CHEMBL2105399";"SULFAMOXOLE";"SULFAMOXOLE|SULPHAMOXOLE";"Small molecule";"0";"267.31";"4";"22";"1.67";"98.22";"5";"2";"0";"3";"N";"0.82";"6.81";"1.94";"0.59";"0.06";"2";"MOL";"0";"18";"6";"3";"0";"267.0678";"NEUTRAL";"C11H13N3O3S";"Cc1nc(NS(=O)(=O)c2ccc(N)cc2)oc1C"
"CHEMBL1256734";"SULBENICILLIN";"SULBENICILLIN|SULBENICILLIN SODIUM|SULFOBENZYLPENICILLIN";"Small molecule";"0";"414.46";"6";"47";"0.25";"141.08";"6";"3";"0";"5";"N";"0.46";"-1.09";"None";"0.38";"-5.45";"1";"MOL";"0";"27";"9";"3";"0";"414.0555";"ACID";"C16H18N2O7S2";"CC1(C)S[C@@H]2[C@H](NC(=O)C(c3ccccc3)S(=O)(=O)O)C(=O)N2[C@H]1C(=O)O"
"CHEMBL106";"FLUCONAZOLE";"BAYT-006267|BAYT006267|CANESTEN ORAL|DIFLUCAN IN SODIUM CHLORIDE|DIFLUCAN ONE|Diflucan|FLUCONAZOLE|FLUCONAZOLE IN SODIUM CHLORIDE|Triflucan|UK-49,858|UK-49858";"Small molecule";"4";"306.28";"350";"7558";"0.74";"81.65";"7";"1";"0";"5";"N";"0.75";"12.68";"2.30";"0.56";"0.56";"3";"MOL";"0";"22";"7";"1";"0";"306.1041";"NEUTRAL";"C13H12F2N6O";"OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F"
"CHEMBL638";"VORICONAZOLE";"UK-109,496|UK-109496|VORICONAZOLE|Vfend";"Small molecule";"4";"349.32";"179";"2750";"2.18";"76.72";"6";"1";"0";"5";"N";"0.76";"12.70";"2.01";"1.82";"1.82";"3";"MOL";"0";"25";"6";"1";"0";"349.1150";"NEUTRAL";"C16H14F3N5O";"C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F"
"CHEMBL2106071";"CLOMOCYCLINE";"CHLORMETHYLENCYCLINE|CLOMOCYCLINE";"Small molecule";"0";"508.91";"";"";"0.02";"187.86";"10";"7";"2";"3";"N";"0.22";"2.61";"8.55";"-3.24";"-3.68";"1";"MOL";"0";"35";"11";"7";"3";"508.1249";"ZWITTERION";"C23H25ClN2O9";"CN(C)[C@@H]1C(O)=C(C(=O)NCO)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12"
"CHEMBL29609";"PLECONARIL";"PLECONARIL|VP 63843|VP-63843|WIN 63843|WIN-63843";"Small molecule";"2";"381.35";"76";"243";"4.68";"74.18";"6";"0";"0";"6";"N";"0.58";"None";"1.64";"5.04";"5.04";"3";"MOL";"0";"27";"6";"0";"0";"381.1300";"NEUTRAL";"C18H18F3N3O3";"Cc1cc(CCCOc2c(C)cc(-c3noc(C(F)(F)F)n3)cc2C)on1"
"CHEMBL2106548";"CLOMETOCILLIN";"CLOMETOCILLIN";"Small molecule";"0";"433.31";"";"";"2.31";"95.94";"5";"2";"0";"5";"N";"0.69";"3.26";"None";"2.22";"-1.22";"1";"MOL";"0";"27";"7";"2";"0";"432.0313";"ACID";"C17H18Cl2N2O5S";"COC(C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12)c1ccc(Cl)c(Cl)c1"
