"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"CHEMBL2106011";"CLOCORTOLONE ACETATE";"CLOCORTOLONE|CLOCORTOLONE ACETATE|SH 818";"Small molecule";"0";"452.95";"";"";"3.57";"80.67";"5";"1";"0";"3";"N";"0.52";"13.83";"None";"2.92";"2.92";"0";"MOL";"0";"31";"5";"1";"0";"452.1766";"NEUTRAL";"C24H30ClFO5";"CC(=O)OCC(=O)[C@H]1[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C"
"CHEMBL2105087";"FLUOCORTIN BUTYL";"FLUOCORTIN|FLUOCORTIN BUTYL|SH K 203";"Small molecule";"0";"446.56";"";"";"3.99";"80.67";"5";"1";"0";"5";"N";"0.39";"None";"None";"4.45";"4.45";"0";"MOL";"0";"32";"5";"1";"0";"446.2469";"NEUTRAL";"C26H35FO5";"CCCCOC(=O)C(=O)[C@H]1[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C"
"CHEMBL3707288";"LITHIUM SUCCINATE";"LITHIUM SUCCINATE";"Small molecule";"0";"129.95";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"130.0430";"None";"C4H4Li2O4";"O=C([O-])CCC(=O)[O-].[Li+].[Li+]"
"CHEMBL1200545";"DIFLORASONE DIACETATE";"DIFLORASONE|DIFLORASONE DIACETATE|FLORONE E|Florone|PSORCON E|Psorcon|U-34,865|U-34865";"Small molecule";"4";"494.53";"117";"290";"2.99";"106.97";"7";"1";"0";"4";"N";"0.60";"13.58";"None";"2.22";"2.22";"0";"MOL";"0";"35";"7";"1";"0";"494.2116";"NEUTRAL";"C26H32F2O7";"CC(=O)OCC(=O)[C@@]1(OC(C)=O)[C@@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C"
"CHEMBL14687";"PROPANOL";"Ethylcarbinol|PROPANOL|Propan-1-ol|Propanol";"Small molecule";"0";"60.10";"12";"33";"0.39";"20.23";"1";"1";"0";"1";"Y";"0.46";"None";"None";"0.36";"0.36";"0";"MOL";"0";"4";"1";"1";"0";"60.0575";"NEUTRAL";"C3H8O";"CCCO"
"CHEMBL1233307";"MERCURIC IODIDE";"MERCURIC IODIDE|Mercuric Iodide";"Small molecule";"0";"454.40";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"1";"None";"None";"None";"None";"455.7796";"None";"HgI2";""
"CHEMBL486174";"PECILOCIN";"PECILOCIN|VARIOTIN";"Small molecule";"0";"291.39";"21";"30";"2.75";"57.61";"3";"1";"0";"7";"N";"0.58";"None";"None";"2.40";"2.40";"0";"MOL";"0";"21";"4";"1";"0";"291.1834";"NEUTRAL";"C17H25NO3";"CCCC[C@@H](O)/C=C(C)/C=C/C=C/C(=O)N1CCCC1=O"
"CHEMBL3707340";"TRIBROMOMETACRESOL";"TRIBROMOMETACRESOL";"Small molecule";"0";"344.83";"";"";"3.99";"20.23";"1";"1";"0";"0";"N";"0.75";"6.51";"None";"4.49";"3.57";"1";"MOL";"0";"11";"1";"1";"0";"341.7891";"NEUTRAL";"C7H5Br3O";"Cc1c(Br)cc(Br)c(O)c1Br"
"CHEMBL2106763";"FLUPREDNIDENE";"FLUPREDNIDENE";"Small molecule";"0";"390.45";"";"";"1.82";"94.83";"5";"3";"0";"2";"N";"0.63";"12.11";"None";"1.41";"1.41";"0";"MOL";"0";"28";"5";"3";"0";"390.1843";"NEUTRAL";"C22H27FO5";"C=C1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO"
"CHEMBL1374360";"MERCURIC CHLORIDE";"Hg II chloride|MERCURIC CHLORIDE";"Small molecule";"0";"271.50";"108";"310";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"1";"None";"None";"None";"None";"271.9083";"None";"Cl2Hg";""
"CHEMBL3833360";"PHENYLMERCURIC NITRATE";"PHENYLMERCURIC NITRATE|Phenmerzyl Nitrate";"Small molecule";"0";"634.40";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"0";"None";"None";"None";"None";"637.0101";"None";"C12H11Hg2NO4";""
"CHEMBL2106309";"HYDROCORTISONE ACEPONATE";"HYDROCORTISONE ACEPONATE";"Small molecule";"0";"460.57";"";"";"3.31";"106.97";"7";"1";"0";"5";"N";"0.63";"None";"None";"2.86";"2.86";"0";"MOL";"0";"33";"7";"1";"0";"460.2461";"NEUTRAL";"C26H36O7";"CCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C"
"CHEMBL97972";"PYRROLNITRIN";"52230|PYRROLNITRIN";"Small molecule";"0";"257.08";"11";"14";"3.90";"58.93";"2";"1";"0";"2";"N";"0.65";"None";"None";"3.85";"3.85";"2";"MOL";"0";"16";"4";"1";"0";"255.9806";"NEUTRAL";"C10H6Cl2N2O2";"O=[N+]([O-])c1c(Cl)cccc1-c1c[nH]cc1Cl"
"CHEMBL3833355";"PHENYLMERCURIC BORATE";"PHENYLMERCURIC BORATE";"Small molecule";"0";"633.22";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"0";"None";"None";"None";"None";"636.0320";"None";"C12H13BHg2O4";""
"CHEMBL1262";"OXICONAZOLE";"OXICONAZOLE|Oxiconazole|Oxistat|Oxizole";"Small molecule";"4";"429.13";"128";"601";"6.12";"39.41";"4";"0";"1";"6";"N";"0.35";"None";"6.74";"5.84";"5.78";"3";"MOL";"0";"26";"4";"0";"1";"426.9813";"NEUTRAL";"C18H13Cl4N3O";"Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1"
"CHEMBL1418176";"METHANDROSTENOLONE";"DIANABOL|METANDIENONE|METHANDIENONE|METHANDROSTENOLONE";"Small molecule";"4";"300.44";"8";"52";"4.05";"37.30";"2";"1";"0";"0";"N";"0.73";"None";"None";"3.64";"3.64";"0";"MOL";"0";"22";"2";"1";"0";"300.2089";"NEUTRAL";"C20H28O2";"C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O"
"CHEMBL1200438";"TIOCONAZOLE";"TIOCONAZOLE|TROSYL|TZ-3|UK-20,349|UK-20349|VAGISTAT-1|Vagistat";"Small molecule";"4";"387.72";"25";"112";"5.86";"27.05";"4";"0";"1";"6";"N";"0.53";"None";"6.48";"5.30";"5.26";"3";"MOL";"0";"23";"3";"0";"1";"385.9814";"NEUTRAL";"C16H13Cl3N2OS";"Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1"
"CHEMBL3707230";"MERCURY, AMMONIATED";"ADAMSONS|AMMONIATED MERCURY|MERCURIC AMIDOCHLORIDE|MERCURY, AMMONIATED";"Small molecule";"4";"252.07";"";"";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"1";"None";"None";"None";"None";"252.9582";"None";"H2ClHgN";""
"CHEMBL1697782";"METHYLPREDNISOLONE ACEPONATE";"ADVANTAN|METHYLPREDNISOLONE ACEPONATE";"Small molecule";"4";"472.58";"4";"23";"3.34";"106.97";"7";"1";"0";"5";"N";"0.61";"None";"None";"3.14";"3.14";"0";"MOL";"0";"34";"7";"1";"0";"472.2461";"NEUTRAL";"C27H36O7";"CCC(=O)O[C@]1(C(=O)COC(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C"
"CHEMBL989";"FLUOCINOLONE ACETONIDE";"CAPEX|DERMOTIC|Derma-Smoothe/FS|FLUOCINOLONE|FLUOCINOLONE ACETONIDE|FS Shampoo|Fluocet|Fluonid|Fluotrex|ILUVIEN|NSC-92339|Retisert|SYNALAR FTE|SYNALAR-C|SYNALAR-HP|SYNALAR-N|SYNANDONE|Synalar|YUTIQ";"Small molecule";"4";"452.49";"205";"695";"2.37";"93.06";"6";"2";"0";"2";"N";"0.67";"13.38";"None";"1.60";"1.60";"0";"MOL";"0";"32";"6";"2";"0";"452.2010";"NEUTRAL";"C24H30F2O6";"CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1"
"CHEMBL106";"FLUCONAZOLE";"BAYT-006267|BAYT006267|CANESTEN ORAL|DIFLUCAN IN SODIUM CHLORIDE|DIFLUCAN ONE|Diflucan|FLUCONAZOLE|FLUCONAZOLE IN SODIUM CHLORIDE|Triflucan|UK-49,858|UK-49858";"Small molecule";"4";"306.28";"350";"7558";"0.74";"81.65";"7";"1";"0";"5";"N";"0.75";"12.68";"2.30";"0.56";"0.56";"3";"MOL";"0";"22";"7";"1";"0";"306.1041";"NEUTRAL";"C13H12F2N6O";"OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F"
"CHEMBL277535";"BIFONAZOLE";"BAY H 4502|BAY-H-4502|BIFONAZOLE|D01AC10|Mycospor";"Small molecule";"4";"310.40";"93";"435";"5.19";"17.82";"2";"0";"1";"4";"N";"0.51";"None";"6.36";"5.23";"5.21";"4";"MOL";"0";"24";"2";"0";"1";"310.1470";"NEUTRAL";"C22H18N2";"c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1"
"CHEMBL2110895";"BIPHENAMINE";"XENYSALATE";"Small molecule";"0";"313.40";"";"";"3.56";"49.77";"4";"1";"0";"7";"N";"0.79";"9.58";"8.84";"4.30";"3.14";"2";"MOL";"0";"23";"4";"1";"0";"313.1678";"BASE";"C19H23NO3";"CCN(CC)CCOC(=O)c1cccc(-c2ccccc2)c1O"
"CHEMBL489411";"AMOROLFINE";"AMOROLFINE|AMOROLFINE HYDROCHLORIDE|LOCERYL CURANAIL|Loceryl|OMICUR|RO 14-4767/000";"Small molecule";"4";"317.52";"16";"63";"4.66";"12.47";"2";"0";"0";"6";"N";"0.76";"None";"8.49";"5.62";"4.49";"1";"MOL";"0";"23";"2";"0";"0";"317.2719";"NEUTRAL";"C21H35NO";"CCC(C)(C)c1ccc(CC(C)CN2C[C@H](C)O[C@H](C)C2)cc1"
"CHEMBL406393";"DEOXYCHOLIC ACID";"ATX-101|DEOXYCHOLIC ACID|DESOXYCHOLIC ACID|DWJ-211|DWJ211|Deoxycholate|KYBELLA|NSC-8797";"Small molecule";"4";"392.58";"92";"184";"4.48";"77.76";"3";"3";"0";"4";"N";"0.66";"4.65";"None";"3.79";"1.11";"0";"MOL";"0";"28";"4";"3";"0";"392.2927";"ACID";"C24H40O4";"C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C"
"CHEMBL1571863";"ISOCONAZOLE";"ISOCONAZOLE|ISOCONAZOLE NITRATE|R-15,454 [AS NITRATE SALT]|TRAVOGYN";"Small molecule";"4";"416.14";"30";"63";"6.45";"27.05";"3";"0";"1";"6";"N";"0.46";"None";"6.48";"5.96";"5.92";"3";"MOL";"0";"25";"3";"0";"1";"413.9860";"NEUTRAL";"C18H14Cl4N2O";"Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1"
